Month,Store,Revenue,OperatingCosts,EmployeeCount,Profit
2022-01-01,Publix,3074507.122951685,2034361.8289568461,266,1040145.2939948388
2022-02-01,Publix,2979260.3548243223,1823695.9844637266,246,1155564.3703605956
2022-03-01,Publix,3097153.2807151037,2032408.3969394795,228,1064744.8837756242
2022-04-01,Publix,3228454.4784612036,1961491.7719583684,283,1266962.7065028353
2022-05-01,Publix,2964876.9937914996,1932307.799969404,251,1032569.1938220956
2022-06-01,Publix,2964879.456457623,2061167.6288840869,244,903711.827573536
2022-07-01,Publix,3236881.922326109,2103099.952249595,292,1133781.970076514
2022-08-01,Publix,3115115.2093729363,2093128.01191162,250,1021987.1974613164
2022-09-01,Publix,2929578.842109757,1916078.2476777362,240,1013500.5944320208
2022-10-01,Publix,3081384.0065378947,1969078.7624148785,255,1112305.2441230163
2022-11-01,Publix,2930487.346078131,2033126.3431403565,215,897361.0029377744
2022-12-01,Publix,2930140.5369644617,2097554.512712236,275,832586.0242522256
2023-01-01,Publix,3036294.340734905,1952082.576215471,231,1084211.7645194342
2023-02-01,Publix,2713007.9633013303,1981434.1023336183,258,731573.860967712
2023-03-01,Publix,2741262.325123045,1889366.5025993972,237,851895.8225236479
2023-04-01,Publix,2915656.870613854,1880379.3375919329,244,1035277.5330219211
2023-05-01,Publix,2848075.3319498366,2081252.5822394197,256,766822.7497104169
2023-06-01,Publix,3047137.099889291,2135624.0028570825,224,911513.0970322085
2023-07-01,Publix,2863796.388671818,1992798.9878419666,242,870997.4008298516
2023-08-01,Publix,2788154.4447997063,2100353.2897892026,258,687801.1550105037
2023-09-01,Publix,3219847.315338233,2036163.6025047635,250,1183683.7128334695
2023-10-01,Publix,2966133.55492702,1935488.0245394877,257,1030645.5303875322
2023-11-01,Publix,3010129.2307031886,2036139.5605508415,259,973989.6701523471
2023-12-01,Publix,2786287.7720679813,2153803.6566465967,281,632484.1154213846
2022-01-01,Aldi,2134674.073056978,1497133.9168712038,95,637540.1561857744
2022-02-01,Aldi,2213310.710765184,1625171.4924651205,118,588139.2183000634
2022-03-01,Aldi,2061880.7707093237,1290420.3916728206,92,771460.3790365031
2022-04-01,Aldi,2245083.7622014806,1565752.200350018,110,679331.5618514626
2022-05-01,Aldi,2127923.3572097435,1506963.7654590537,101,620959.5917506898
2022-06-01,Aldi,2164996.7500248067,1476079.4119627306,84,688917.3380620761
2022-07-01,Aldi,2127795.2065324723,1507340.8621228402,115,620454.344409632
2022-08-01,Aldi,2422273.3821410723,1340994.4868319286,95,1081278.8953091437
2022-09-01,Aldi,2198380.333031448,1482426.248972999,114,715954.0840584491
2022-10-01,Aldi,2073074.6885252919,1528569.0057209397,104,544505.6828043521
2022-11-01,Aldi,2298705.389452383,1618231.5235793213,89,680473.8658730616
2022-12-01,Aldi,2053498.7620034774,1458538.3825381082,103,594960.3794653693
2023-01-01,Aldi,2225063.6314005707,1435320.511768545,85,789743.1196320257
2023-02-01,Aldi,1964839.5851344268,1459859.4365132372,101,504980.14862118964
2023-03-01,Aldi,2040617.6741321883,1573232.169416166,104,467385.5047160224
2023-04-01,Aldi,2223623.348304295,1526300.0887727747,106,697323.2595315203
2023-05-01,Aldi,2288615.989599449,1457619.183698637,95,830996.8059008121
2023-06-01,Aldi,2220564.1937427963,1541061.3946490686,104,679502.7990937277
2023-07-01,Aldi,2186122.206113411,1507766.2039478433,105,678356.0021655678
2023-08-01,Aldi,2163867.5565292854,1577491.599242631,84,586375.9572866543
2023-09-01,Aldi,2022577.3611559088,1443835.7524898117,93,578741.608666097
2023-10-01,Aldi,2113618.694992635,1473787.0282721785,115,639831.6667204564
2023-11-01,Aldi,2144723.3474848256,1468631.3477494274,109,676091.9997353982
2023-12-01,Aldi,2326854.6671462697,1382918.8041494305,102,943935.8629968392
